transport_id_bas,MobDr1to4_od30,MobDr1to6_od30,MobDr1to6_od10,MobDr1to6_od15,num,month_decision,amt_decision_w,amt_loan_w,dataloan_channel,age,id,transport_id,platform,income,debt,amountCents,risk,totalGMVAYear,costAYear,feesAyear,month,debtAYear,grossProfit,grossRate,netProfit,actualNetProfit,netProfitAfterCAP,beforeRiskamt,riskScore,afterRiskAmt,software_quota,ccrc_quota,bankflow_quota,com_quota,limit_before_loan,limit_debt,limit_after_loan,created,software,software_quota2,ccrc_income,ibs_income,comprehensive_income
206099,0,0,0,0,1,2017-09,25,25,管家婆,40,3562,206099,pgjp,336682.8973,0,214258.5828,0.808571429,37255395.72,33373921.93,0,12,0,319314.7502,0.100978427,159657.3751,0.050489214,0.045440292,336682.8973,0.808571429,214258.5828,948364.8082,0,336682.8973,21425858.28,214258.5828,0,0,2018/4/19 16:49,pgjp,948364.8082,0,336682.8973,214258.5828
206052,0,0,0,0,1,2017-09,12.7,5.7684,管家婆,29,3561,206052,pgjp,110332.977,0,98001.30569,0.881220834,2636380.713,2071115.06,0,12,0,47521.63736,0.213201992,23760.81868,0.106600996,0.075,110332.977,0.881220834,98001.30569,110332.977,0,182803.7799,9800130.569,98001.30569,0,0,2018/4/19 16:49,pgjp,110332.977,0,182803.7799,98001.30569
205590,0,0,0,0,1,2017-09,8,8,管家婆,47,3557,205590,pgjp,82130.12313,53616.25534,38519.6479,0.948604341,1715403.378,1403984.907,0,6,107232.5107,27702.30759,0.176000195,13851.1538,0.088000097,0.075,82130.12313,0.948604341,92135.90324,77912.65391,99000,52908.53657,3851964.79,92135.90324,53616.25534,0,2018/4/19 16:49,pgjp,77912.65391,99000,52908.53657,38519.6479
205333,0,1,1,1,1,2017-09,2,1.9999,管家婆,49,3555,205333,pgjp,22947.47274,0,17840.40336,0.849263049,2081181.821,1995622.227,0,12,0,6996.957787,0.041163108,3498.478893,0.020581554,0.025,22947.47274,0.849263049,17840.40336,22947.47274,0,59583.69729,1784040.336,17840.40336,0,0,2018/4/19 16:49,pgjp,22947.47274,0,59583.69729,17840.40336
204769,0,0,0,0,1,2017-09,6,3.1496,管家婆,36,3550,204769,pgjp,74122.77936,132388.0874,0,0.937395262,1690067.147,1323687.664,0,12,264776.1747,30098.67979,0,15049.33989,0,0,74122.77936,0.937395262,80272.76433,58903.4742,135000,75597.79714,0,80272.76433,132388.0874,0,2018/4/19 16:49,pgjp,58903.4742,135000,75597.79714,0
203947,0,0,0,0,1,2017-09,5,4.9999,管家婆,34,3535,203947,pgjp,17059.896,0,10856.59286,0.808571429,2002343.672,0,0,12,0,20082.55227,0,10041.27614,0,0,17059.896,0.808571429,10856.59286,59645.18025,0,17059.896,1085659.286,10856.59286,0,0,2018/4/19 16:49,pgjp,59645.18025,0,17059.896,10856.59286
205069,0,0,1,0,1,2017-09,25,25,管家婆,39,3552,205069,pgjp,378064.0817,0,240592.7804,0.808571429,33325097.95,31835173.01,0,0,122979.906,0.043984574,61489.953,0.021992287,0.025,378064.0817,0.808571429,240592.7804,240592.7804,444405.9665,0,378064.0817,24059278.04,240592.7804,0,0,2018/4/19 16:49,pgjp,444405.9665,0,378064.0817,240592.7804
205067,0,0,0,0,1,2017-09,23.6,23.6,管家婆,44,3551,205067,pgjp,188722.4929,0,169674.6211,0.884346946,8306546.114,7475152.472,0,12,0,68765.99113,0.099159139,34382.99556,0.04957957,0.044621613,188722.4929,0.884346946,169674.6211,188722.4929,0,184118.9066,16967462.11,169674.6211,0,0,2018/4/19 16:49,pgjp,188722.4929,0,184118.9066,169674.6211
204502,0,0,0,0,1,2017-09,3.7,3.7,管家婆,29,3545,204502,pgjp,40555.64868,0,32294.61717,0.854703019,0,0,0,0,0,0,0,0,0,0,0,0,0,40555.64868,0,202221.3506,3229461.717,0,0,0,2018/4/19 16:49,pgjp,40555.64868,0,202221.3506,32294.61717
204632,0,0,0,0,1,2017-09,8,8,管家婆,38,3549,204632,pgjp,47672.62057,71229,0,0.928233968,0,0,0,0,0,0,0,0,0,0,0,0,0,69664.89501,60000,23017.86171,0,0,71229,0,2018/4/19 16:49,pgjp,69664.89501,60000,23017.86171,0
204586,0,0,0,0,1,2017-09,6,5.9999,管家婆,35,3547,204586,pgjp,97493.0125,149678.0415,0,0.927392601,0,0,0,0,0,0,0,0,0,0,0,0,0,51403.49962,128317.3925,35844.25243,0,0,149678.0415,0,2018/4/19 16:49,pgjp,51403.49962,128317.3925,35844.25243,0
204596,0,0,0,0,1,2017-09,4.9,4.9,管家婆,44,3548,204596,pgjp,57351.10167,87195.25273,0,0.97683628,1420507.098,1298608.153,0,174390,17155.9165,0,8577.958249,0,0,57351.10167,0.97683628,69951.08729,0,41688.87709,120000,125605.5896,0,69951.08729,87195.25273,0,2018/4/19 16:49,pgjp,41688.87709,120000,125605.5896,0
